iter	Passed	Remaining
0	129	129635
1	131	65681
2	133	44265
3	134	33562
4	136	27137
5	139	23145
6	141	20054
7	143	17735
8	144	15941
9	146	14489
10	147	13301
11	149	12308
12	151	11477
13	153	10843
14	155	10236
15	157	9698
16	159	9210
17	160	8776
18	162	8385
19	164	8050
20	165	7736
21	168	7494
22	170	7248
23	172	7007
24	174	6789
25	175	6579
26	177	6387
27	178	6213
28	180	6051
29	182	5914
30	184	5769
31	186	5628
32	187	5498
33	189	5389
34	191	5290
35	194	5199
36	197	5136
37	199	5043
38	200	4949
39	202	4863
40	204	4782
41	206	4701
42	208	4630
43	210	4565
44	212	4506
45	214	4456
46	217	4402
47	218	4338
48	220	4277
49	222	4227
50	224	4172
51	226	4137
52	230	4117
53	232	4067
54	233	4019
55	237	4004
56	239	3965
57	246	4008
58	249	3978
59	251	3936
60	253	3897
61	257	3894
62	264	3929
63	267	3917
64	278	4001
65	283	4011
66	285	3974
67	291	3988
68	293	3954
69	295	3922
70	298	3906
71	300	3872
72	308	3918
73	314	3929
74	331	4082
75	339	4133
76	345	4137
77	348	4113
78	352	4113
79	355	4083
80	356	4050
81	359	4026
82	361	3992
83	362	3957
84	364	3928
85	367	3907
86	368	3870
87	370	3843
88	373	3822
89	375	3791
90	376	3761
91	381	3760
92	382	3733
93	384	3707
94	386	3681
95	387	3653
96	389	3627
97	391	3604
98	395	3596
99	396	3569
100	399	3554
101	400	3525
102	402	3501
103	403	3479
104	405	3456
105	409	3455
106	412	3439
107	413	3417
108	416	3401
109	418	3383
110	419	3361
111	422	3352
112	426	3347
113	428	3328
114	430	3311
115	431	3289
116	433	3270
117	435	3254
118	439	3254
119	441	3239
120	443	3223
121	445	3204
122	446	3181
123	447	3163
124	450	3151
125	452	3138
126	457	3143
127	458	3124
128	460	3108
129	462	3093
130	463	3077
131	468	3080
132	470	3066
133	472	3051
134	474	3037
135	476	3027
136	478	3013
137	480	3000
138	483	2994
139	485	2979
140	486	2965
141	488	2953
142	490	2938
143	491	2924
144	493	2910
145	497	2907
146	499	2897
147	500	2883
148	502	2872
149	504	2859
150	506	2846
151	508	2834
152	510	2827
153	512	2816
154	514	2805
