iter	Passed	Remaining
0	2	2313
1	4	2054
2	5	1949
3	8	2157
4	10	2094
5	12	2037
6	14	2032
7	17	2209
8	20	2246
9	24	2390
10	26	2338
11	27	2302
12	29	2257
13	31	2212
14	33	2177
15	34	2137
16	37	2185
17	39	2169
18	41	2139
19	43	2123
20	45	2121
21	47	2109
22	49	2096
23	51	2098
24	54	2116
25	56	2115
26	58	2099
27	59	2079
28	61	2059
29	63	2038
30	64	2019
31	68	2084
32	70	2078
33	72	2065
34	75	2069
35	77	2070
36	78	2055
37	80	2039
38	83	2050
39	84	2034
40	86	2019
41	88	2011
42	89	1996
43	91	1983
44	92	1971
45	94	1959
46	97	1975
47	99	1964
48	100	1953
49	102	1943
50	103	1933
51	105	1922
52	107	1913
53	108	1904
54	111	1918
55	113	1909
56	114	1902
57	116	1892
58	118	1883
59	119	1873
60	121	1865
61	122	1857
62	124	1852
63	127	1858
64	128	1852
65	130	1844
66	131	1836
67	133	1829
68	135	1822
69	136	1814
70	138	1807
71	141	1820
72	143	1819
73	144	1813
74	146	1805
75	147	1799
76	149	1792
77	151	1784
78	152	1778
79	155	1790
80	157	1787
81	159	1780
82	160	1767
83	161	1761
84	163	1756
85	164	1750
86	166	1744
87	167	1738
88	170	1746
89	172	1743
90	174	1738
91	175	1735
92	177	1732
93	179	1729
94	180	1724
95	182	1720
96	185	1723
97	186	1718
98	188	1713
99	189	1708
100	191	1703
101	192	1698
102	194	1693
103	196	1688
104	198	1695
105	200	1691
106	202	1687
107	203	1683
108	205	1679
109	206	1674
110	208	1670
111	210	1665
112	211	1662
113	214	1664
114	215	1660
115	217	1657
116	218	1650
117	220	1647
118	221	1642
119	223	1638
120	225	1634
121	227	1636
122	229	1634
123	231	1631
124	232	1628
125	234	1623
126	235	1619
127	237	1616
128	238	1613
129	240	1610
130	243	1612
131	245	1611
132	246	1607
133	248	1603
134	249	1600
135	251	1596
136	252	1593
137	254	1591
138	257	1596
139	259	1594
140	261	1591
141	262	1586
142	264	1583
143	265	1580
144	267	1576
145	268	1572
146	271	1578
147	273	1574
148	275	1571
149	276	1568
150	278	1564
151	279	1560
152	281	1557
153	282	1553
154	285	1554
155	287	1553
156	288	1550
157	290	1548
158	292	1545
159	293	1542
160	294	1536
161	296	1533
162	297	1529
163	300	1532
164	302	1530
165	304	1530
166	306	1529
167	309	1531
168	311	1531
169	315	1538
170	317	1537
171	319	1538
172	322	1542
173	327	1554
174	331	1563
175	333	1563
176	336	1563
177	338	1561
178	339	1558
179	341	1555
180	345	1561
181	347	1561
182	349	1558
183	350	1556
184	352	1553
185	354	1549
186	355	1545
187	357	1543
188	364	1562
189	367	1568
190	370	1567
191	372	1565
192	374	1565
193	378	1572
194	384	1586
195	386	1584
196	387	1581
197	391	1585
198	394	1586
199	396	1585
200	399	1586
201	400	1583
202	402	1581
203	408	1592
204	409	1589
205	412	1591
206	414	1588
207	416	1585
208	417	1581
209	423	1591
210	426	1593
211	428	1591
212	429	1588
213	431	1586
214	439	1604
215	443	1610
216	445	1607
217	447	1605
218	454	1622
219	457	1621
220	460	1624
221	462	1622
222	469	1636
223	473	1639
224	476	1642
225	478	1638
226	485	1652
227	489	1657
228	491	1654
229	493	1651
230	500	1664
231	509	1685
232	517	1703
233	522	1710
234	524	1706
235	525	1701
236	533	1717
237	535	1713
238	537	1710
239	539	1707
240	541	1704
241	546	1710
242	548	1708
243	550	1704
244	551	1700
245	554	1698
246	559	1706
247	562	1705
248	566	1707
249	568	1705
250	570	1702
251	573	1701
252	613	1812
253	624	1833
254	627	1833
255	630	1832
256	639	1849
257	642	1846
258	644	1843
259	646	1841
260	653	1851
261	656	1848
262	658	1845
263	660	1842
264	663	1839
265	718	1983
266	723	1984
267	725	1982
268	734	1995
269	737	1993
270	739	1989
271	741	1985
272	745	1984
273	749	1985
274	751	1981
275	753	1977
276	761	1986
277	765	1988
278	767	1984
279	770	1980
280	778	1992
281	780	1987
282	783	1984
283	785	1979
284	793	1991
285	797	1990
286	799	1986
287	806	1993
288	809	1992
289	854	2090
290	857	2088
291	859	2083
